Country Name,GDP (million US$),ODA (million US$),"Population, total"
Estonia,31370395568,0,1329522
Eswatini,3982226056,104.9599991,1180655
Ethiopia,1.07658E+11,5301.660156,117190911
Faroe Islands,3248696901,0,52415
Fiji,4477040341,193.6399994,920422
Finland,2.71892E+11,0,5529543
France,2.63901E+12,0,67571107
French Polynesia,5709421969,0,301920
Gabon,15314577167,53.20000076,2292573
"Gambia, The",1812169484,300.6099854,2573995
Georgia,15842922532,1040.859985,3722716
Germany,3.88967E+12,0,83160871
Ghana,70043199799,2204.159912,32180401
Gibraltar,#VALUE!,0,32709
Greece,1.88926E+11,0,10698599
Greenland,3076015347,0,56367
Grenada,1043414815,69.51000214,123663
Guam,5886000000,0,169231
Guatemala,77625486979,472.3599854,16858333
Guinea,14177835815,723.4699707,13205153
Guinea-Bissau,1431758243,147.2400055,2015828
Guyana,5471256595,51.86999893,797202
Haiti,14508218020,886.8499756,11306801
Honduras,23827840807,1432.630005,10121763
"Hong Kong SAR, China",3.44932E+11,0,7481000
Hungary,1.57182E+11,0,9750149
Iceland,21694674808,0,366463
India,2.66769E+12,1794.209961,1396387127
Indonesia,1.05869E+12,1232.869995,271857970
"Iran, Islamic Rep.",2.39736E+11,235.1000061,87290193
Iraq,1.8437E+11,2359.149902,42556984
Ireland,4.25852E+11,0,4985382
Isle of Man,#VALUE!,0,84046
Israel,4.13268E+11,0,9215100
Italy,1.89676E+12,0,59438851
Jamaica,13812425037,66.61000061,2820436
Japan,5.04011E+12,0,126261000
Jordan,44182298294,3114,10928721
Kazakhstan,1.71082E+11,70.40000153,18755666
Kenya,1.00667E+11,3987.860107,51985780
Kiribati,180911843.7,58.02000046,126463
"Korea, Dem. People's Rep.",#VALUE!,56.70999908,25867467
"Korea, Rep.",1.64431E+12,0,51836239
Kosovo,7716925355,543.9899902,1790133
Kuwait,1.0596E+11,0,4360444
Kyrgyz Republic,7780874534,445.1099854,6579900
Lao PDR,18981800704,528.9199829,7319399
Latvia,34601740322,0,1900449
Lebanon,31712128256,1417.579956,5662923
Lesotho,2231214507,170.4900055,2254100
Liberia,3039982500,652.0999756,5087584
Libya,50357312595,295.9899902,6653942
Liechtenstein,6113951013,0,38756
Lithuania,56846622905,0,2794885
Luxembourg,73992591285,0,630419
"Macao SAR, China",25459563659,0,676283
Madagascar,13051441059,1289.52002,28225177
Malawi,12182348213,1453.130005,19377061
Malaysia,3.37338E+11,-5.21999979,33199993
Maldives,3746321936,311.1600037,514438
Mali,17465392917,1565.51001,21224040
Malta,14933066820,0,515332
Marshall Islands,241722400,183.0599976,43413
Mauritania,8405491204,644.460022,4498604
Mauritius,11401050654,334.9700012,1265740
Mexico,1.09052E+12,936.0599976,125998302
"Micronesia, Fed. Sts.",408000000,171.6300049,112106
Moldova,11859730544,519.5599976,2635130
Monaco,6739691603,0,36922
Mongolia,13312981595,699.1599731,3294335
Montenegro,4769860741,203.8800049,621306
Morocco,1.19536E+11,1828.349976,36688772
Mozambique,14028811070,2547.300049,31178239
Myanmar,78930257210,2870.320068,53423198
Namibia,10581585630,180.1000061,2489098
Nauru,114626625.5,28.25,12315
Nepal,33433670522,1758.400024,29348627
Netherlands,9.09793E+11,0,17441500
New Caledonia,9435529926,0,271130
New Zealand,2.11735E+11,0,5090200
Nicaragua,12586970514,599.9099731,6755895
Niger,13744174691,1928.449951,24333639
Nigeria,4.32199E+11,3375.47998,208327405
North Macedonia,12363580535,282.2399902,2072531
Northern Mariana Islands,#VALUE!,0,49587
Norway,3.62198E+11,0,5379475
Oman,75909397676,0,4543399
Pakistan,3.00426E+11,2590.97998,227196741
Palau,251900000.1,66.23000336,17972
Panama,53976999985,394.6700134,4294396
Papua New Guinea,23848265900,1055.030029,9749640
Paraguay,35432178071,304.2399902,6618695
Peru,2.01705E+11,488.7000122,33304756
Philippines,3.61751E+11,1456.219971,112190977
Poland,5.99449E+11,0,37899070
Portugal,2.29032E+11,0,10297081
Puerto Rico,1.0302E+11,0,3281538
Qatar,1.44411E+11,0,2760385
Romania,2.51362E+11,0,19265250
Russian Federation,1.46509E+12,0,144073139
Rwanda,10184345442,1624.449951,13146362
Samoa,868904477.8,166.6100006,214929
San Marino,1541204338,0,34007
Sao Tome and Principe,472551022.6,91.84999847,218641
Saudi Arabia,7.03368E+11,0,35997107
Senegal,24493157584,1610.969971,16436120
Serbia,53356480452,480.1000061,6899126
Seychelles,1261198524,0,98462
Sierra Leone,4063289450,836.7999878,8233970
Singapore,3.45296E+11,0,5685807
Sint Maarten (Dutch part),#VALUE!,0,42310
Slovak Republic,1.06697E+11,0,5458827
Slovenia,53706800038,0,2102419
Solomon Islands,1536148245,214.2599945,691191
Somalia,6883000000,3039.689941,16537016
South Africa,3.3762E+11,1202.97998,58801927
South Sudan,#VALUE!,1820.319946,10606227
Spain,1.27696E+12,0,47365655
Sri Lanka,85349112167,217.5599976,21919000
St. Kitts and Nevis,884525926.1,0,47642
St. Lucia,1516015719,98.11000061,179237
St. Martin (French part),#VALUE!,0,32553
St. Vincent and the Grenadines,872134555.6,75.80999756,104632
Sudan,27034592816,2347.719971,44440486
Suriname,2911807496,27.09000015,607065
Sweden,5.47054E+11,0,10353442
Switzerland,7.39914E+11,0,8638167
Syrian Arab Republic,11079795397,10005.98047,20772595
Tajikistan,8133996648,751.2299805,9543207
Tanzania,64302073349,2275.040039,61704518
Thailand,4.99682E+11,197.8500061,71475664
Timor-Leste,2158392540,249.6799927,1299995
Togo,7574636978,560.8800049,8442580
Tonga,484806718.4,162.8899994,105254
Trinidad and Tobago,21059428852,0,1518147
Tunisia,42537832451,974.9099731,12161723
Turkiye,7.20289E+11,538.1400146,84135428
Turkmenistan,#VALUE!,35.41999817,6250438
Turks and Caicos Islands,924583000,0,44276
Tuvalu,55054710.62,42.91999817,11069
Uganda,37600368181,3082.590088,44404611
Ukraine,1.65572E+11,2334.560059,44132049
United Arab Emirates,3.49473E+11,0,9287289
United Kingdom,2.70461E+12,0,67081000
United States,2.10605E+13,0,331501080
Uruguay,53560755062,0,3429086
Uzbekistan,59894305342,1459.23999,34232050
Vanuatu,896879875.1,154,311685
"Venezuela, RB",#VALUE!,310.4100037,28490453
Vietnam,3.46616E+11,1167.709961,96648685
Virgin Islands (U.S.),4204000000,0,106290
West Bank and Gaza,15531699998,2029.969971,4803269
"Yemen, Rep.",#VALUE!,2543.550049,32284046
Zambia,18110631359,1015.869995,18927715
Zimbabwe,21509698401,984.0700073,15669666
